"Parameter","Mean","Min","Max"
"$\beta$","6.75","5.65","8.04"
"$\eta_{11}$","0.34","0.28","0.41"
"$q_{0,b}$","1.1","1","1.22"
"$q_{0,s}$","0.83","0.76","0.9"
"$q_{0,p}$","0.87","0.82","0.93"
"$q_{0,t}$","0.98","0.88","1.11"
"$e_{0}$","0.3","0.24","0.36"
"$f_c$","0.48","0.41","0.57"
"$\Delta_S$","0.18","0.01","0.61"
"$\Delta_L$","0.43","0.01","1.5"
"$\epsilon_{T_{max,1}}$","0.69","0.51","1.08"
"$\epsilon_{T_{max,2}}$","0.84","0.51","1.41"
"$\epsilon_{T_{max,3}}$","0.72","0.51","1.24"
"$\epsilon_{T_{max,4}}$","0.96","0.53","1.44"
"$\epsilon_{T_{max,5}}$","0.79","0.5","1.32"
"$\epsilon_{T_{max,6}}$","0.93","0.52","1.47"
"$\epsilon_{T_{max,7}}$","1.04","0.56","1.47"
"$\epsilon_{T_{max,8}}$","0.71","0.5","1.24"
"$\epsilon_{T_{max,9}}$","0.87","0.51","1.41"
"$\epsilon_{T_{max,10}}$","1.13","0.67","1.47"
"$\epsilon_{u_{0,1}}$","1.18","0.77","1.48"
"$\epsilon_{u_{0,2}}$","1","0.58","1.44"
"$\epsilon_{u_{0,3}}$","0.71","0.51","1.07"
"$\epsilon_{u_{0,4}}$","0.67","0.51","1.05"
"$\epsilon_{u_{0,5}}$","1.1","0.68","1.45"
"$\epsilon_{u_{0,6}}$","1.03","0.56","1.48"
"$\epsilon_{u_{0,7}}$","0.96","0.54","1.45"
"$\epsilon_{u_{0,8}}$","1.02","0.6","1.47"
"$\epsilon_{u_{0,9}}$","1.02","0.56","1.44"
"$\epsilon_{u_{0,10}}$","0.9","0.52","1.4"
